# time [s]     intensity
524.301072    1.055847
524.305432    -1.558157
524.309793    -0.195294
524.314154    0.446252
524.318515    -2.974346
524.322875    -0.658494
524.327236    -0.870293
524.331597    0.282766
524.335958    0.768007
524.340318    -0.488257
524.344679    -0.089701
524.349040    -0.606345
524.353401    0.095595
524.357761    1.474861
524.362122    0.727988
524.366483    1.707234
524.370844    -0.630492
524.375204    -1.358221
524.379565    -1.175577
524.383926    -0.800679
524.388287    -0.407822
524.392647    -0.416355
524.397008    -0.434613
524.401369    0.636165
524.405730    -0.209316
524.410090    -0.856517
524.414451    1.952257
524.418812    -0.528268
524.423173    -0.358728
524.427533    -1.170692
524.431894    -1.853943
524.436255    1.199874
524.440616    -1.781728
524.444976    -2.021496
524.449337    0.357709
524.453698    0.511807
524.458059    -1.001111
524.462419    0.615325
524.466780    -1.134295
524.471141    0.457718
524.475502    0.785826
524.479862    0.338167
524.484223    0.503399
524.488584    -0.430616
524.492945    -0.437244
524.497305    -0.173727
524.501666    1.116199
524.506027    0.844184
524.510388    -0.658849
524.514748    0.295030
524.519109    1.695047
524.523470    0.446958
524.527830    -1.185472
524.532191    -0.301807
524.536552    0.875682
524.540913    -0.858155
524.545273    -0.041600
524.549634    -0.452720
524.553995    0.756710
524.558356    1.058186
524.562716    -0.095871
524.567077    1.220202
524.571438    -0.345919
524.575799    -0.486859
524.580159    -0.331843
524.584520    0.283032
524.588881    -1.067475
524.593242    -0.741424
